2021-04-17/15:46:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:34		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:34		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:34		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:34		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:38		 wafer_13012020_090817.csv: File loaded successfully!!
