2021-04-17/15:43:55		Start of Validation on files!!
2021-04-17/15:44:04		Raw Data Validation Complete!!
2021-04-17/15:44:04		Starting Data Transforamtion!!
2021-04-17/15:44:10		DataTransformation Completed!!!
2021-04-17/15:44:10		Creating Training_Database and tables on the basis of given schema!!!
2021-04-17/15:46:24		Table creation Completed!!
2021-04-17/15:46:24		Insertion of Data into Table started!!!!
2021-04-17/15:49:55		Insertion in Table completed!!!
2021-04-17/15:49:55		Deleting Good Data Folder!!!
2021-04-17/15:49:55		Good_Data folder deleted!!!
2021-04-17/15:49:55		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-04-17/15:49:55		Bad files moved to archive!! Bad folder Deleted!!
2021-04-17/15:49:55		Validation Operation completed!!
2021-04-17/15:49:55		Extracting csv file from table
